"filename", "language", "JSON", "XML", "C#", "Markdown", "CSV", "comment", "blank", "total"
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260609064903_AddWorldsAndCampaigns.Designer.cs", "C#", 0, 0, 962, 0, 0, 2, 370, 1334
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260609064903_AddWorldsAndCampaigns.cs", "C#", 0, 0, 253, 0, 0, 3, 30, 286
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260609104643_LocationsXY.Designer.cs", "C#", 0, 0, 969, 0, 0, 2, 373, 1344
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260609104643_LocationsXY.cs", "C#", 0, 0, 39, 0, 0, 3, 8, 50
"d:\VisualStudio\Projects\dnd-assistant\Migrations\MyDbContextModelSnapshot.cs", "C#", 0, 0, 967, 0, 0, 1, 373, 1341
"d:\VisualStudio\Projects\dnd-assistant\Models\Backgrounds\Background.cs", "C#", 0, 0, 19, 0, 0, 0, 4, 23
"d:\VisualStudio\Projects\dnd-assistant\Models\Backgrounds\BackgroundFeature.cs", "C#", 0, 0, 16, 0, 0, 0, 2, 18
"d:\VisualStudio\Projects\dnd-assistant\Models\Campaign.cs", "C#", 0, 0, 23, 0, 0, 0, 7, 30
"d:\VisualStudio\Projects\dnd-assistant\Models\Character.cs", "C#", 0, 0, 82, 0, 0, 0, 38, 120
"d:\VisualStudio\Projects\dnd-assistant\Models\CharacterItem.cs", "C#", 0, 0, 21, 0, 0, 0, 7, 28
"d:\VisualStudio\Projects\dnd-assistant\Models\CharacterSpell.cs", "C#", 0, 0, 19, 0, 0, 0, 6, 25
"d:\VisualStudio\Projects\dnd-assistant\Models\Classes\Class.cs", "C#", 0, 0, 31, 0, 0, 0, 6, 37
"d:\VisualStudio\Projects\dnd-assistant\Models\Classes\ClassFeature.cs", "C#", 0, 0, 17, 0, 0, 0, 3, 20
"d:\VisualStudio\Projects\dnd-assistant\Models\Classes\ClassLevelProgression.cs", "C#", 0, 0, 19, 0, 0, 0, 6, 25
"d:\VisualStudio\Projects\dnd-assistant\Models\Item.cs", "C#", 0, 0, 95, 0, 0, 0, 15, 110
"d:\VisualStudio\Projects\dnd-assistant\Models\Location.cs", "C#", 0, 0, 22, 0, 0, 0, 7, 29
"d:\VisualStudio\Projects\dnd-assistant\Models\NPC.cs", "C#", 0, 0, 22, 0, 0, 0, 6, 28
"d:\VisualStudio\Projects\dnd-assistant\Models\RefreshTokens.cs", "C#", 0, 0, 37, 0, 0, 0, 12, 49
"d:\VisualStudio\Projects\dnd-assistant\Models\Rule.cs", "C#", 0, 0, 27, 0, 0, 0, 5, 32
"d:\VisualStudio\Projects\dnd-assistant\Models\Session.cs", "C#", 0, 0, 19, 0, 0, 0, 5, 24
"d:\VisualStudio\Projects\dnd-assistant\Models\SessionEvent.cs", "C#", 0, 0, 17, 0, 0, 0, 5, 22
"d:\VisualStudio\Projects\dnd-assistant\Models\Species\Species.cs", "C#", 0, 0, 26, 0, 0, 0, 6, 32
"d:\VisualStudio\Projects\dnd-assistant\Models\Species\SpeciesTrait.cs", "C#", 0, 0, 16, 0, 0, 0, 2, 18
"d:\VisualStudio\Projects\dnd-assistant\Models\Spell.cs", "C#", 0, 0, 87, 0, 0, 0, 17, 104
"d:\VisualStudio\Projects\dnd-assistant\Models\User.cs", "C#", 0, 0, 29, 0, 0, 0, 8, 37
"d:\VisualStudio\Projects\dnd-assistant\Models\World.cs", "C#", 0, 0, 24, 0, 0, 0, 7, 31
"d:\VisualStudio\Projects\dnd-assistant\Models\WorldEvent.cs", "C#", 0, 0, 19, 0, 0, 0, 5, 24
"d:\VisualStudio\Projects\dnd-assistant\Program.cs", "C#", 0, 0, 133, 0, 0, 2, 29, 164
"d:\VisualStudio\Projects\dnd-assistant\Properties\launchSettings.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 46
"d:\VisualStudio\Projects\dnd-assistant\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1
"d:\VisualStudio\Projects\dnd-assistant\Shared\Enums.cs", "C#", 0, 0, 44, 0, 0, 0, 3, 47
"d:\VisualStudio\Projects\dnd-assistant\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 1, 9
"d:\VisualStudio\Projects\dnd-assistant\appsettings.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 18
"d:\VisualStudio\Projects\dnd-assistant\dnd-assistant.csproj", "XML", 0, 23, 0, 0, 0, 0, 5, 28
"Total", "-", 73, 23, 10029, 274, 148, 54, 3050, 13651
